id;names;date_x;score;genre;status;orig_lang;country
1;Creed III;03/02/2023;73.0;Drama, Action; Released; English;AU
2;Avatar: The Way of Water;12/15/2022 ;78.0;Science Fiction, Adventure, Action; Released; English;AU
3;The Super Mario Bros. Movie;04/05/2023;76.0;Animation, Adventure, Family, Fantasy, Comedy; Released; English;AU
4;Mummies;01/05/2023;70.0;Animation, Comedy, Family, Adventure, Fantasy; Released; Spanish, Castilian;AU
5;Supercell;03/17/2023 ;61.0;Action; Released; English;US
6;Cocaine Bear;02/23/2023 ;66.0;Thriller, Comedy, Crime; Released; English;AU
7;John Wick: Chapter 4;03/23/2023 ;80.0;Action, Thriller, Crime; Released; English;AU
8;Puss in Boots: The Last Wish;12/26/2022 ;83.0;Animation, Family, Fantasy, Adventure, Comedy; Released; English;AU
9;Attack on Titan;09/30/2022 ;59.0;Action, Science Fiction; Released; English;US
10;The Park;03/02/2023;58.0;Action, Drama, Horror, Science Fiction, Thriller; Released; English;US
11;Winnie the Pooh: Blood and Honey;02/14/2023 ;58.0;Horror, Thriller; Released; English;AU
12;The Exorcist;11/02/2022;55.0;Horror; Released; Spanish, Castilian;MX
13;Murder Mystery 2;03/31/2023 ;65.0;Comedy, Mystery, Action; Released; English;AU
14;Black Panther: Wakanda Forever;11/10/2022;73.0;Action, Adventure, Science Fiction; Released; English;AU
15;The Pope's Exorcist;04/06/2023;72.0;Horror, Mystery; Released; English;AU
16;Prizefighter: The Life of Jem Belcher;07/22/2022 ;62.0;Drama, History; Released; English;GB
17;Knock at the Cabin;02/02/2023;64.0;Thriller, Mystery, Horror, Fantasy; Released; English;AU
18;The Devil Conspiracy;01/13/2023 ;65.0;Horror, Thriller; Released; English;US
19;Cazadora;01/19/2023 ;57.0;Thriller; Released; Spanish, Castilian;CL
20;Gold Run;12/15/2022 ;65.0;War, Action, Adventure, Thriller; Released; Norwegian;NO
21;The Magician's Elephant;03/17/2023 ;73.0;Animation, Adventure, Family, Fantasy; Released; English;AU
22;Plane;01/27/2023 ;69.0;Action, Adventure, Thriller; Released; English;GB
23;The Passion of the Christ;02/25/2004 ;74.0;Drama; Released; English;AU
24;Batman: The Doom That Came to Gotham;03/28/2023 ;64.0;Animation, Fantasy, Horror, Action, Mystery; Released; English;US
25;Shazam! Fury of the Gods;03/16/2023 ;69.0;Action, Comedy, Fantasy; Released; English;AU
26;Consecration;02/10/2023;65.0;Horror, Thriller; Released; English;US
27;Shark Side of the Moon;08/12/2022;53.0;Action, Science Fiction, Thriller, Horror; Released; English;US
28;Black Adam;10/20/2022 ;71.0;Action, Adventure, Science Fiction, Fantasy; Released; English;AU
29;Money Shot: The Pornhub Story;03/15/2023 ;58.0;Documentary; Released; English;US
30;M3GAN;01/12/2023;74.0;Science Fiction, Horror, Comedy; Released; English;AU
31;Ant-Man and the Wasp: Quantumania;02/16/2023 ;63.0;Science Fiction, Adventure, Action; Released; English;AU
32;Sayen;03/03/2023;62.0;Thriller, Action; Released; Spanish, Castilian;CL
33;Die Hart;02/24/2023 ;62.0;Action, Comedy, Thriller; Released; English;US
34;13 Exorcisms;11/04/2022;55.0;Drama, Horror; Released; Spanish, Castilian;ES
35;H.P. Lovecraft's Witch House;06/29/2022 ;60.0;Horror; Released; English;US
36;John Wick: Chapter 2;05/18/2017 ;73.0;Action, Thriller, Crime; Released; English;AU
37;Sick;09/24/2022 ;63.0;Horror, Thriller; Released; English;US
38;Black Warrant;03/01/2023;54.0;Action, Thriller; Released; English;AU
39;Shotgun Wedding;01/26/2023 ;63.0;Action, Comedy, Romance; Released; English;AU
40;John Wick: Chapter 3 - Parabellum;05/16/2019 ;74.0;Action, Thriller, Crime; Released; English;AU
41;Legion of Super-Heroes;02/07/2023;63.0;Animation, Action, Science Fiction; Released; English;US
42;Fall;09/22/2022 ;73.0;Thriller, Drama; Released; English;AU
43;Lord of the Streets;04/22/2022 ;52.0;Action; Released; English;US
44;Little Dixie;02/03/2023;60.0;Thriller, Action, Drama, Crime; Released; English;US
45;The Whale;02/02/2023;81.0;Drama; Released; English;AU
46;Prey for the Devil;10/28/2022 ;71.0;Horror, Thriller; Released; English;US
47;Bandit;09/23/2022 ;62.0;Crime, Drama, Thriller; Released; English;US
48;Roald Dahl's Matilda the Musical;12/08/2022;68.0;Family, Comedy, Fantasy; Released; English;AU
49;The Simpsons Meet the Bocellis in Feliz Navidad;12/15/2022 ;52.0;Animation, Family, Comedy; Released; English;US
50;Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train;02/25/2021 ;83.0;Animation, Action, Adventure, Fantasy, Thriller; Released; Japanese;AU
51;Huesera: The Bone Woman;02/23/2023 ;58.0;Drama, Horror, Mystery; Released; Spanish, Castilian;MX
52;The Last Heretic;11/09/2022;55.0;Thriller, Horror; Released; Spanish, Castilian;AR
53;JUNG_E;01/20/2023 ;63.0;Science Fiction, Action, Adventure; Released; Korean;KR
54;A Man Called Otto;01/01/2023;79.0;Comedy, Drama; Released; English;AU
55;Champions;03/09/2023;68.0;Comedy; Released; English;AU
56;Dungeons & Dragons: Honor Among Thieves;03/30/2023 ;76.0;Adventure, Fantasy, Comedy; Released; English;AU
57;Troll;12/01/2022;68.0;Fantasy, Action, Adventure, Thriller; Released; Norwegian;AU
58;Sonic the Hedgehog 2;03/31/2022 ;76.0;Action, Adventure, Family, Comedy; Released; English;AU
59;A Bronx Tale;05/20/1994 ;78.0;Drama, Crime; Released; English;AU
60;Big Trip 2: Special Delivery;01/19/2023 ;65.0;Animation, Family, Adventure, Comedy; Released; Russian;AU
61;Encanto at the Hollywood Bowl;12/28/2022 ;73.0;Music; Released; English;US
62;The Forbidden Legend: Sex & Chopsticks 2;03/04/2009;60.0;Comedy, Drama, Romance; Released; Cantonese;HK
63;Top Gun: Maverick;05/26/2022 ;83.0;Action, Drama; Released; English;AU
64;On a Wing and a Prayer;04/06/2023;65.0;Drama, Thriller; Released; English;US
65;Sniper: The White Raven;08/24/2022 ;76.0;War, Drama; Released; Ukrainian;UA
66;The Enforcer;12/01/2022;74.0;Action, Crime, Drama, Thriller; Released; English;AU
67;Diabolik - Ginko Attacks;11/17/2022 ;57.0;Crime, Action; Released; Italian;IT
68;Scream VI;03/09/2023;73.0;Horror, Mystery, Thriller; Released; English;AU
69;Avatar;12/17/2009 ;76.0;Action, Adventure, Fantasy, Science Fiction; Released; English;AU
70;Breaking;08/26/2022 ;67.0;Crime, Drama, Thriller; Released; English;US
71;Tetris;03/31/2023 ;78.0;Thriller, History, Drama; Released; English;GB
72;65;03/09/2023;63.0;Thriller, Science Fiction, Action; Released; English;AU
73;Thor: Love and Thunder;07/06/2022;66.0;Fantasy, Action, Comedy; Released; English;AU
74;Arctic Void;01/14/2022 ;47.0;Science Fiction, Thriller; Released; English;US
75;Terrifier 2;10/28/2022 ;69.0;Horror; Released; English;AU
76;John Wick;11/26/2014 ;74.0;Action, Thriller; Released; English;AU
77;Spider-Man: No Way Home;12/16/2021 ;80.0;Action, Adventure, Science Fiction; Released; English;AU
78;R.I.P.D. 2: Rise of the Damned;11/15/2022 ;66.0;Action, Comedy, Fantasy, Crime; Released; English;US
79;Dolphin Boy;04/07/2022;65.0;Animation, Adventure, Fantasy, Comedy; Released; Russian;RU
80;Guillermo del Toro's Pinocchio;11/24/2022 ;82.0;Animation, Fantasy, Drama, Music; Released; English;AU
81;A Frozen Rooster;12/14/2022 ;79.0;Animation, Adventure, Comedy, Family; Released; Spanish, Castilian;MX
82;Dragon Ball Super: Super Hero;08/18/2022 ;79.0;Animation, Science Fiction, Action; Released; Japanese;AU
83;Nocebo;11/04/2022;63.0;Mystery, Thriller, Horror; Released; English;US
84;Prey;08/05/2022;78.0;Thriller, Action, Science Fiction; Released; English;AU
85;Hex;11/01/2022;61.0;Action, Horror, Thriller; Released; English;US
86;Medieval;09/09/2022;72.0;Action, Drama, History; Released; English;US
87;Barbie: Skipper and the Big Babysitting Adventure;03/16/2023 ;73.0;Family, Animation; Released; English;US
88;Super Mario Bros.;06/10/1993;43.0;Action, Adventure, Comedy, Family, Science Fiction; Released; English;AU
89;Transfusion;01/05/2023;64.0;Crime, Thriller, Drama; Released; English;AU
